Drug Name,SMILES,logS,Number of Nodes,Number of Edges,Number of Edge Attributes,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,drugbank_id,Drug Type,chembl
CARBON MONOXIDE,C=O,0.5014012453540957,2,1,1,1,30.026,0,0,0,17.07,DB03843,Drug,
FORMALDEHYDE,C=O,-4.959624508540548,2,1,1,1,30.026,0,0,0,17.07,DB03843,Drug,
METHANOL,C=O,1.7715185802605333,2,1,1,1,30.026,0,0,0,17.07,DB03843,Drug,
CILOMILAST,COC1=C(C=C(C=C1)C2(CCC(CC2)C(=O)O)C#N)OC3CCCC3,-0.430698999229441,25,27,4,1,343.4230000000001,1,3,5,79.55,DB03849,Drug,
EUCALYPTOL,CC1(C2CCC(O1)(CC2)C)C,-2.9948342807075363,11,12,1,1,154.25300000000001,0,3,0,9.23,DB03852,Drug,
TERT-BUTYL ALCOHOL,CC(C)(C)O,-0.24314245143683166,5,4,1,1,74.12299999999999,1,0,0,20.23,DB03900,Drug,
OXALIC ACID,C(=O)(C(=O)O)O,-6.068986833220069,6,5,2,1,90.03399999999999,2,0,0,74.60000000000001,DB03902,Drug,
HTS 466284,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,-5.5523509136905,21,24,2,2,272.311,1,4,2,54.46,DB03921,Drug,
PHOSPHORYLCHOLINE,C[N+](C)(C)CCOP(=O)(O)O,-1.8212791825671983,11,10,2,1,184.152,2,0,4,66.76,DB03945,Drug,
PROTOCATECHUIC ACID,C1=CC(=C(C=C1C(=O)O)O)O,-6.399936597357952,11,11,3,1,154.12099999999998,3,1,1,77.76,DB03946,Drug,
SODIUM DODECYL SULFATE,CCCCCCCCCCCCOS(=O)(=O)O,-5.827797803162611,17,16,2,1,266.40299999999996,1,0,12,63.60000000000001,DB03967,Drug,
GLYCINE,C(CO)N,-0.6974902566804415,4,3,1,1,61.083999999999996,2,0,1,46.25,DB03994,Drug,
TRANS-3-(4'-HYDROXYPHENYL)-2-PROPENOIC ACID,C1=CC(=CC=C1C=CC(=O)O)O,-0.29060828631969127,12,12,3,1,164.15999999999997,2,1,2,57.53,DB04066,Drug,
AMITROLE,C(C(CO)O)O,-1.5261377460043022,6,5,1,1,92.09399999999998,3,0,2,60.69,DB04077,Drug,
GLYCEROL,C(C(CO)O)O,0.9729852455443719,6,5,1,1,92.09399999999998,3,0,2,60.69,DB04077,Drug,
UNDECANAL,CCCCCCCCCCC=O,-4.608769938209617,12,11,2,1,170.296,0,0,9,17.07,DB04093,Drug,
BERBERINE,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,-0.09980572704953339,25,29,2,1,336.36700000000013,0,5,2,40.8,DB04115,Drug,
4-METHYLCATECHOL,CC1=CC(=C(C=C1)O)O,-5.713239541449369,9,9,2,1,124.13899999999997,2,1,0,40.46,DB04120,Drug,
FRUCTOSE,C(C1C(C(C(O1)(CO)O)O)O)O,-2.260574514258024,12,12,1,1,180.156,5,1,2,110.38000000000001,DB04173,Drug,
METHYLMALONIC ACID,CC(C(=O)O)C(=O)O,-0.6156107789123757,8,7,2,1,118.08799999999998,2,0,2,74.6,DB04183,Drug,
DEQUALINIUM,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C,-6.789938499045192,34,37,2,1,456.67800000000017,2,4,11,59.8,DB04209,Drug,
QUERCETIN,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,-1.6720884446164685,22,24,3,1,302.238,5,3,1,131.36,DB04216,Drug,
DIDECYLDIMETHYLAMMONIUM,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,-1.0045876665262599,23,22,1,1,326.6330000000001,0,0,18,0.0,DB04221,Drug,
OLEIC ACID,CCCCCCCCC=CCCCCCCCC(=O)O,-4.806388350140367,20,19,2,1,282.4679999999999,1,0,15,37.3,DB04224,Drug,
OLEIC ACID,CCCCCCC=CCCCCCCCC(=O)O,-1.0112826427588626,18,17,2,1,254.4139999999999,1,0,13,37.3,DB04257,Drug,
PALMITOLEIC ACID,CCCCCCC=CCCCCCCCC(=O)O,-3.817574437864038,18,17,2,1,254.4139999999999,1,0,13,37.3,DB04257,Drug,
CITRIC ACID,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,-5.223664304450973,13,12,2,1,192.12300000000002,4,0,5,132.13,DB04272,Drug,
TRICHOSTATIN A,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,1.3624287785463771,22,22,3,1,302.374,2,1,6,69.64,DB04297,Drug,
CARBOCYSTEINE,C(C(C(=O)O)N)SCC(=O)O,0.8222825341630422,11,10,2,1,179.19699999999997,3,0,5,100.61999999999999,DB04339,Drug,
SALINOMYCIN,C(C(C(=O)O)N)SCC(=O)O,0.7749116198131931,11,10,2,1,179.19699999999997,3,0,5,100.61999999999999,DB04339,Drug,
OXALIC ACID,C(=O)C(=O)O,-5.794908646534244,5,4,2,1,74.035,1,0,1,54.370000000000005,DB04343,Drug,
GLYCEROL,CC(CO)O,-0.8841184253441607,5,4,1,1,76.095,2,0,1,40.46,DB04349,Drug,
ARECOLINE,CN1CCC=C(C1)C(=O)OC,-3.9004791390094224,11,11,2,1,155.19699999999997,0,1,1,29.540000000000003,DB04365,Drug,
CITRIC ACID,CC(CC(=O)O)(CC(=O)O)O,-0.7289642837428305,11,10,2,1,162.141,3,0,4,94.83,DB04377,Drug,
2-BUTENAL,CC=CC=O,-5.020321732166099,5,4,2,1,70.09100000000001,0,0,1,17.07,DB04381,Drug,
4-NITROPHENOL,C1=CC(=CC=C1[N+](=O)[O-])O,0.22159798757444893,10,10,3,1,139.10999999999999,1,1,1,63.370000000000005,DB04417,Drug,
HOMOCYSTEINE,C(CS)C(C(=O)O)N,-1.937532679570956,8,7,2,1,135.18799999999996,3,0,3,63.31999999999999,DB04422,Drug,
BETAINE,C[N+](C)(C)CC(=O)O,-4.420586801356238,8,7,2,1,118.15599999999998,1,0,2,37.3,DB04455,Drug,
ARSENIC TRIOXIDE,O[As](O)O,1.9471686815365672,4,3,1,1,125.94299999999998,3,0,0,60.69,DB04456,Drug,
ARSENITE,O[As](O)O,-3.318482448118803,4,3,1,1,125.94299999999998,3,0,0,60.69,DB04456,Drug,
"4,5,6,7-TETRABROMO-2-AZABENZIMIDAZOLE",C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br,1.9292863004813778,13,14,2,1,434.71099999999996,1,2,0,41.57,DB04462,Drug,
AFIMOXIFENE,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,-0.10015872944973303,29,31,3,1,387.5230000000001,1,3,8,32.7,DB04468,Drug,
OCTANOIC ACID,CCCCCCCC(=O)O,-2.4140681122491108,10,9,2,1,144.214,1,0,6,37.3,DB04519,Drug,
OLEIC ACID,CCCCCCCC(=O)O,-1.1945819015408414,10,9,2,1,144.214,1,0,6,37.3,DB04519,Drug,
PALMITIC ACID,CCCCCCCC(=O)O,-3.3292867434724513,10,9,2,1,144.214,1,0,6,37.3,DB04519,Drug,
ARACHIDONIC ACID,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,-2.18653680414614,22,21,2,1,304.47400000000005,1,0,14,37.3,DB04557,Drug,
ESTRIOL,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,0.26385829790095805,21,24,2,1,288.387,3,4,0,60.69,DB04573,Drug,
ESTRONE,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,1.8931227145695644,24,27,3,1,350.43600000000004,1,4,2,80.67,DB04574,Drug,
ESTRONE SULFATE,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,-1.584490873272193,24,27,3,1,350.43600000000004,1,4,2,80.67,DB04574,Drug,
ALDOSTERONE,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,-1.9850597815849929,26,29,2,1,360.4500000000001,2,4,3,91.67,DB04630,Drug,
CORTICOSTERONE,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-6.198319289355437,25,28,2,1,346.4670000000001,2,4,2,74.60000000000001,DB04652,Drug,
CORTISONE,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-5.721631092752248,25,28,2,1,346.4670000000001,2,4,2,74.60000000000001,DB04652,Drug,
COUMARIN,C1=CC=C2C(=C1)C=CC(=O)O2,-1.2790884445417507,11,12,2,1,146.14499999999995,0,2,0,30.21,DB04665,Drug,
CAMPTOTHECIN,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,-1.633431794047489,26,30,3,1,348.35800000000006,1,5,1,81.42,DB04690,Drug,
ESTRADIOL,CC12CCC3C(C1CCC2=O)CCC4C3CCC(=O)C4,1.4257594423846012,20,23,2,1,274.404,0,4,0,34.14,DB04693,Drug,
25-HYDROXYCHOLESTEROL,CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,-4.529340406747735,29,32,2,1,402.66300000000024,2,4,5,40.46,DB04705,Drug,
ISOPENTENYL PYROPHOSPHATE,CC(=C)CCOP(=O)(O)OP(=O)(O)O,-2.849266115579135,14,13,2,1,246.092,3,0,6,113.29000000000002,DB04714,Drug,
"2-TERT-BUTYL-9-FLUORO-3,6-DIHYDRO-7H-BENZ(H)IMIDAZO(4,5-F)ISOQUINOLINE-7-ONE",CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,-2.3864118131770855,23,26,3,1,309.344,2,4,0,61.54,DB04716,Drug,
LICOFELONE,CC1(CC2=C(C(=C(N2C1)CC(=O)O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4)C,-3.4929258408456203,27,30,3,1,379.88700000000006,1,4,4,42.230000000000004,DB04725,Drug,
MYXOTHIAZOL,CC(C)C=CC=CC(C)C1=NC(=CS1)C2=NC(=CS2)C=CC(C(C)C(=CC(=O)N)OC)OC,-2.804720837567121,33,34,3,1,487.6910000000002,1,2,12,87.33000000000001,DB04741,Drug,
NIMESULIDE,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,-4.603944100601305,21,22,3,1,308.315,1,2,5,98.54,DB04743,Drug,
"TRANS-10,CIS-12-CONJUGATED LINOLEIC ACID",CCCCCC=CC=CCCCCCCCCC(=O)O,0.06581962651119078,20,19,2,1,280.4519999999999,1,0,14,37.3,DB04746,Drug,
SURAMIN,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C,-2.878699060784145,86,93,3,1,1297.302,12,8,16,483.7499999999999,DB04786,Drug,
BICALUTAMIDE,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,-2.704443993690985,24,27,2,2,310.40000000000003,0,4,4,17.82,DB04794,Drug,
THENOYLTRIFLUOROACETONE,C1=CSC(=C1)C(=O)CC(=O)C(F)(F)F,-5.1395638462764035,14,14,3,1,222.18699999999995,0,1,3,34.14,DB04795,Drug,
NEOMYCIN,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)O)O)N,1.2701319354617038,22,23,1,1,322.362,8,2,3,203.46,DB04808,Drug,
CLIOQUINOL,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,-2.1559244213872306,13,14,2,1,305.50199999999995,1,2,0,33.120000000000005,DB04815,Drug,
DIPYRONE,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+],-0.7173491447632196,22,22,3,0,333.3450000000001,0,2,4,87.37,DB04817,Drug,
METHAPYRILENE,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,-0.3750632077364564,19,19,2,0,297.85499999999996,0,2,6,19.37,DB04819,Drug,
URETHANE,CCOC(=O)N,-6.5820407766882445,6,5,2,1,89.09400000000001,1,0,1,52.32,DB04827,Drug,
ZOMEPIRAC,CC1=C(N(C(=C1)CC(=O)O)C)C(=O)C2=CC=C(C=C2)Cl,1.4011206360840642,20,21,3,1,291.73400000000004,1,2,4,59.300000000000004,DB04828,Drug,
COFFEE,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,-4.996256985178556,24,27,3,1,323.4400000000001,1,4,3,39.34,DB04829,Drug,
VITAMIN A,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,-1.2235029511550053,24,27,3,1,323.4400000000001,1,4,3,39.34,DB04829,Drug,
MARAVIROC,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,1.5281958487281226,37,41,3,1,513.6770000000002,1,5,8,63.050000000000004,DB04835,Drug,
NEBIVOLOL,C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,-6.959907461045029,29,32,2,1,405.4410000000001,3,4,6,70.95,DB04861,Drug,
HUPERZINE A,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,-5.326560038028957,18,20,3,1,242.322,2,3,0,58.88,DB04864,Drug,
4-METHYL-N-(3-(4-METHYLIMIDAZOL-1-YL)-5-(TRIFLUOROMETHYL)PHENYL)-3-((4-PYRIDIN-3-YLPYRIMIDIN-2-YL)AMINO)BENZAMIDE,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,-4.136653638838206,39,43,3,1,529.5260000000002,2,5,6,97.62,DB04868,Drug,
DAPOXETINE,CN(C)C(CCOC1=CC=CC2=CC=CC=C21)C3=CC=CC=C3,-5.227872585820694,23,25,2,1,305.42100000000005,0,3,6,12.47,DB04884,Drug,
OXIBENDAZOLE,CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,-2.278246812656815,18,19,3,1,249.26999999999998,2,2,4,76.24,DB04910,Drug,
PERMETHRIN,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,-0.15941343346833214,26,28,3,1,391.29400000000004,0,3,6,35.53,DB04930,Drug,
FRUCTOSE,C(C(C(C(C(=O)CO)O)O)O)O,-2.0308118362462286,12,11,2,1,180.156,5,0,5,118.22000000000001,DB04936,Drug,
TAGATOSE,C(C(C(C(C(=O)CO)O)O)O)O,-6.0440900465983685,12,11,2,1,180.156,5,0,5,118.22000000000001,DB04936,Drug,
OSPEMIFENE,C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl,1.658478044775574,27,29,3,1,378.8990000000002,1,3,8,29.46,DB04938,Drug,
TAMIBAROTENE,CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C,-6.54996714946143,26,28,3,1,351.44600000000014,2,3,3,66.4,DB04942,Drug,
PIRFENIDONE,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,-3.8817446551454875,14,15,3,1,185.226,0,2,1,22.0,DB04951,Drug,
ERDOSTEINE,C1CSC(=O)C1NC(=O)CSCC(=O)O,-6.726532797304891,15,15,2,1,249.31299999999996,2,1,5,83.47,DB05057,Drug,
FENRETINIDE,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)NC2=CC=C(C=C2)O)C)C,1.1697549270288246,29,30,3,1,391.5550000000001,2,2,6,49.33,DB05076,Drug,
BERAPROST,CC#CCC(C)C(C=CC1C(CC2C1C3=CC=CC(=C3O2)CCCC(=O)[O-])O)O.[Na+],-4.056817741835099,30,31,4,0,420.4810000000002,2,3,8,89.82000000000001,DB05229,Drug,
TETRODOTOXIN,C(C1(C2C3C([NH+]=C(NC34C(C1OC(C4O)(O2)[O-])O)N)O)O)O,-4.438872483644496,22,25,2,1,319.27000000000004,8,5,1,194.69,DB05232,Drug,
SILVER,C1=CN=C(N=C1)[N-]S(=O)(=O)C2=CC=C(C=C2)N.[Ag+],1.5453589537447598,18,18,3,0,357.14300000000003,1,2,3,100.04,DB05245,Drug,
FINGOLIMOD HYDROCHLORIDE,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,-0.7376401363436518,22,22,2,1,307.47800000000007,3,1,12,66.48,DB05286,Drug,
FINGOLIMOD HYDROCHLORIDE,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,-6.734630059221949,22,22,2,1,307.47800000000007,3,1,12,66.48,DB08868,Drug,
MICROCRYSTALLINE CELLULOSE,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,-2.3082335054968945,30,33,2,1,475.3620000000001,1,4,6,59.510000000000005,DB05294,Drug,
MICROCRYSTALLINE CELLULOSE,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,1.1915247913181517,30,33,2,1,475.3620000000001,1,4,6,59.510000000000005,DB08764,Drug,
NALTREXONE,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O.Cl,-2.019555582189061,26,30,3,0,377.868,2,6,2,70.00000000000001,DB05302,Drug,
NALTREXONE,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O.Cl,-5.241983827703717,26,30,3,0,377.868,2,6,2,70.00000000000001,DB05508,Drug,
CAPSAICIN,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,0.4359560657927446,22,22,3,1,305.41800000000006,2,1,9,58.56,DB05318,Drug,
HISTAMINE,C1=C(NC=N1)CCN.Cl.Cl,1.8836316934948112,10,8,2,0,184.07000000000002,2,1,2,54.7,DB05381,Drug,
HISTAMINE,C1=C(NC=N1)CCN.Cl.Cl,-1.0903236022580787,10,8,2,0,184.07000000000002,2,1,2,54.7,DB05891,Drug,
IODINE,II,-4.08511414429239,2,1,1,1,253.808,0,0,0,0.0,DB05382,Drug,
PIMAGEDINE,C(=NN)(N)N.Cl,-6.2521891146780195,6,4,2,0,110.548,3,0,0,90.41999999999999,DB05383,Drug,
GW 501516,CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O,-1.4775420401622466,30,32,3,1,453.5070000000001,1,3,7,59.42,DB05416,Drug,
CYTARABINE,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,-6.367040645579548,17,18,3,1,243.21900000000002,4,2,2,130.83,DB05494,Drug,
CYTIDINE,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,-1.479203603672735,17,18,3,1,243.21900000000002,4,2,2,130.83,DB05494,Drug,
ELESCLOMOL,CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2,-0.09697051982952232,27,28,3,1,400.5290000000001,2,2,4,64.68,DB05719,Drug,
SR 140333,CC(C)OC1=CC=CC(=C1)CC(=O)N2CCCC(C2)(CC[N+]34CCC(CC3)(CC4)C5=CC=CC=C5)C6=CC(=C(C=C6)Cl)Cl.[Cl-],-2.5687356531568373,44,48,3,0,656.1380000000004,0,7,9,29.54,DB05790,Drug,
DEHYDROEPIANDROSTERONE SULFATE,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)OS(=O)(=O)O)C,-5.402981476954985,25,28,2,1,368.49500000000006,1,4,2,80.67,DB05804,Drug,
ETHYL PYRUVATE,CCOC(=O)C(=O)C,-1.993016811443364,8,7,2,1,116.11599999999999,0,0,2,43.370000000000005,DB05869,Drug,
MIANSERIN,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,-1.5753501747222431,20,23,2,1,264.372,0,4,0,6.48,DB06148,Drug,
ACETYLCYSTEINE,CC(=O)NC(CS)C(=O)O,-6.086913234600194,10,9,2,1,163.198,3,0,3,66.4,DB06151,Drug,
RIMONABANT,CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,-1.5420655021171772,30,33,3,1,463.79599999999994,1,4,4,50.160000000000004,DB06155,Drug,
RIVAROXABAN,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,-0.8945911015939085,29,32,3,1,435.8890000000001,1,4,5,88.18,DB06228,Drug,
RIVAROXABAN,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,1.397849963742967,29,32,3,1,435.8890000000001,1,4,5,88.18,DB08477,Drug,
SAXAGLIPTIN,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,-3.3525665069063315,23,27,3,1,315.41700000000003,2,6,2,90.35,DB06335,Drug,
T 91825,CCON=C(C1=NSC(=N1)NP(=O)(O)[O-])C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)O,1.4587275775534554,43,47,3,1,684.7000000000003,4,5,11,223.23999999999998,DB06590,Drug,
ACETAMIDE,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,-3.1211001115358545,18,19,3,1,243.30599999999998,1,2,4,38.33,DB06594,Drug,
BORTEZOMIB,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,-0.9763382723391265,36,39,3,1,530.4560000000001,1,4,9,82.88000000000001,DB06616,Drug,
PYRILAMINE,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,-1.635419162541135,21,22,2,1,285.391,0,2,7,28.6,DB06691,Drug,
MEVASTATIN,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O,-6.893107643774457,29,30,2,1,408.5350000000002,3,2,10,104.06000000000002,DB06693,Drug,
METHYLPHENIDATE,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,0.6255995687613431,17,18,3,1,233.31100000000004,1,2,3,38.33,DB06701,Drug,
METHACHOLINE CHLORIDE,CC(C[N+](C)(C)C)OC(=O)C,-3.9166792126335723,11,10,2,1,160.23699999999997,0,0,3,26.3,DB06709,Drug,
ALUMINUM HYDROXIDE,[OH-].[OH-].[OH-].[Al+3],-1.2572096754202615,4,0,0,0,78.00300000000001,0,0,0,90.0,DB06723,Drug,
LORNOXICAM,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,-6.830730543116578,23,25,3,1,371.82700000000006,2,3,2,99.60000000000001,DB06725,Drug,
ANILINE,C1=CC=C(C=C1)N,-2.3096993437360913,7,7,2,1,93.12899999999999,1,1,0,26.02,DB06728,Drug,
BETA-NAPHTHOFLAVONE,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43,-6.0224481837955866,21,24,3,1,272.303,0,4,1,30.21,DB06732,Drug,
GINKGOLIDE B,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,-4.549390144798472,30,35,2,1,424.40200000000016,3,6,0,148.82,DB06744,Drug,
GINSENOSIDE RB1,CC1CC(C(C2C1C3CC(C4C(CCC4(C3(CC2)C)C)C(C)(CCC=C(C)C)OC5C(C(C(C(O5)COC6C(C(C(C(O6)CO)O)O)O)O)O)O)O)(C)C)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O,-2.396591445167715,77,84,2,1,1109.3070000000012,15,8,16,377.2900000000001,DB06749,Drug,
TOLUENE,C1=CC=C(C=C1)CO,-0.2596187857359613,8,8,2,1,108.13999999999997,1,1,1,20.23,DB06770,Drug,
CHENODEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,-3.531625187987884,28,31,2,1,392.58000000000015,3,4,4,77.76,DB06777,Drug,
URSODEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,-2.826616232520087,28,31,2,1,392.58000000000015,3,4,4,77.76,DB06777,Drug,
NICLOSAMIDE,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,-6.7257331834763745,21,22,3,1,327.123,2,2,3,92.47000000000001,DB06803,Drug,
NONOXYNOL,CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,-2.641991190607035,43,43,2,1,616.8330000000004,1,1,35,103.30000000000003,DB06804,Drug,
MITHRAMYCIN A,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,-2.3280083514118255,76,83,3,1,1085.1560000000004,11,8,15,358.2,DB06810,Drug,
PLICAMYCIN,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,-6.5828377494622465,76,83,3,1,1085.1560000000004,11,8,15,358.2,DB06810,Drug,
FLUVASTATIN,CC(C)N1C2=CC=CC=C2C(=C1CCC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,-2.3404641196529896,30,32,3,1,413.489,3,3,9,82.69000000000001,DB06846,Drug,
DODECANOL,CCCCCCCCCCCCO,-0.2552072680977906,13,12,1,1,186.33899999999997,1,0,10,20.23,DB06894,Drug,
BISPHENOL A,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,-0.9782598848811412,17,18,2,1,228.291,2,2,2,40.46,DB06973,Drug,
ATENOLOL,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,-2.1182431610857924,19,19,3,1,266.34099999999995,3,1,8,84.58,DB06987,Drug,
TO-901317,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,-5.457213633018415,31,32,3,1,481.33599999999996,1,2,5,57.61,DB07080,Drug,
PD 0325901,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O,-3.6395997473204353,26,27,3,1,482.1960000000002,4,2,7,90.82000000000001,DB07101,Drug,
FERULIC ACID,COC1=C(C=C(C=C1)C=CC(=O)O)O,0.8561822084365254,14,14,3,1,194.18599999999998,2,1,3,66.76,DB07109,Drug,
MEXILETINE,CC1=C(C(=CC=C1)C)OCC(C)N,0.18696885457502077,13,13,2,1,179.26299999999995,1,1,3,35.25,DB07129,Drug,
